id,type,code,product_tmpl_id/id,product_tmpl_id/name,product_qty,product_uom_id,bom_line_ids/product_id/id,bom_line_ids/product_id/name,bom_line_ids/product_qty,bom_line_ids/product_uom_id,byproduct_ids,,,,,,,
Signature Dark 70% Dark Chocolate (20g),1,bar,Signature Dark 70% Dark Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Dark 70% (20g),1,piece,,,,,,,,,,,,,
Thai Bullet Chili Dark Chocolate (20g),1,bar,Thai Bullet Chili Dark Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Thai Bullet Chili (20g),1,piece,,,,,,,,,,,,,
Coconut Milk 65% Dark chocolate (20g),1,bar,Coconut Milk 65% Dark chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Coconut Milk (20g),1,piece,,,,,,,,,,,,,
Signature Milk Chocolate (20g),1,bar,Signature Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Milk (20g),1,piece,,,,,,,,,,,,,
Coffee Crunch Milk Chocolate (20g),1,bar,Coffee Crunch Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Coffee Crunch (20g),1,piece,,,,,,,,,,,,,
Masala Chai Milk Chocolate (20g),1,bar,Masala Chai Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Masala Chai (20g),1,piece,,,,,,,,,,,,,
Thai Tea Milk Chocolate (20g),1,bar,Thai Tea Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Thai Tea (20g),1,piece,,,,,,,,,,,,,
Durian Milk Chocolate (20g),1,bar,Durian Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Durian (20g),1,piece,,,,,,,,,,,,,
Banana Milk Chocolate (20g),1,bar,Banana Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Banana (20g),1,piece,,,,,,,,,,,,,
Chiang Mai Chocolate Collection,1,unit,Signature Dark 70% (20g)  - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Signature Dark 85% (20g) - GOLD FOIL,1,bar,Assemble,,,,,,,,,,,,
,,,Coconut Milk 65% Dark chocolate (20g)  - GOLD FOIL,1,bar,,,,,,,,,,,,,
,,,Wrapper - Signature Dark 70%,,,,,,,,,,,,,,,
,,,Wrapper - Signature Dark 85% (20g),,,,,,,,,,,,,,,
,,,Wrapper - Coconut Milk (20g),,,,,,,,,,,,,,,
,,,Stickers - Clear,2,piece,,,,,,,,,,,,,
,,,White Inner Box,1,piece,,,,,,,,,,,,,
,,,Chiang Mai Dark Chocolate Box,1,piece,,,,,,,,,,,,,
Taste of Thailand Chocolate Collection,1,unit,Signature Dark 70% (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Thai Tea Milk Chocolate (20g) - GOLD FOIL,1,bar,Assemble,,,,,,,,,,,,
,,,Thai Bullet Chili Dark Chocolate (20g) - GOLD FOIL,1,bar,,,,,,,,,,,,,
,,,Signature Dark 70% (20g)  - GOLD FOIL,,,,,,,,,,,,,,,
