Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Factory],Price [Factory],In stock [Factory],Low stock [Factory],Optimal stock [Factory],Available for sale [Stock Room],Price [Stock Room],In stock [Stock Room],Low stock [Stock Room],Optimal stock [Stock Room],item_name,uom_detail,uomDenomination,uomDimension
almond-butter-cups---paleo-robbie-(1kg),10203,Almond Butter Cups - Paleo Robbie (1kg),Finished Good (others),"<p>Almond Butter Cups, for Paleo Robbie, sold in 1 kg, 1 cup is 15 grams, approximately 67 cups in a kilogram batch. Composite item of almond butter, consisting of salt and ground almonds.</p>",N,,,,,,,variable,117.83,,10085,0.266,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Almond Butter Cups - Paleo Robbie,1kg,,other
,,,,,,,,,,,,,,,10010,0.466,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10042,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10151,67.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10152,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10389,0.266,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10391,0.050,,,,,,,,,,,,,,,,,,
almond-flour-(kg),10202,Almond Flour (kg),Discontinued,"<p>Almond Flour, in kilograms.</p>",Y,,,,,,,variable,0.00,,,,Y,,,0.00,N,variable,0.000,,,N,variable,0.000,,,Almond Flour,kg,kg,mass
almond-powder-(kg),10389,Almond Powder (Kg),Ingredients,<p>&nbsp;Almond Powder 1kg/pack (for almond butter cup)</p>,N,,,,,,,307.00,0.00,,,,Y,,Yok Intertrade,,Y,307.00,4.000,2.000,3.000,N,variable,0.000,,,Almond Powder,Kg,kg,mass
"almonds,-chopped-(g)",10046,"Almonds, Chopped (kg)",Ingredients,"<p>Almonds, Chopped 1 Bag = 1kg</p>",Y,,,,,,,448.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,448.00,5.000,2.000,5.000,N,variable,0.000,,,"Almonds, Chopped",kg,kg,mass
"almonds,-whole-(g)",10045,"Almonds, Whole (kg)",Ingredients,"<p>Almonds, Whole 1 Bag = 1kg</p>",Y,,,,,,,343.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,343.00,12.000,3.000,5.000,N,variable,0.000,,,"Almonds, Whole",kg,kg,mass
anantara-belly-band,10390,Anantara Chiang Mai Belly band,Sleeve Logo,<p>สายคาดอนันตราเชียงใหม่ บาร์ใหญ่</p>,N,,,,,,,1.00,0.00,,,,Y,,,,N,1.00,0.000,,,Y,1.00,1048.000,100.000,,Anantara Chiang Mai Belly band,,,
anantara-sticker-small-bar,10405,Anantara Chiang Mai Sticker band,Sleeve Logo,<p>Sticker อนันตราเชียงใหม่ บาร์เล็ก</p>,N,,,,,,,1.00,0.00,,,,Y,,,,N,1.00,0.000,,,Y,1.00,2498.000,100.000,,Anantara Chiang Mai Sticker band,,,
anantara-cm-sleeve-8g-(85%),10445,Anantara CM Sleeve 8g (85%),Sleeve Logo,"<p>For 8g (85%) , we order 400 sleeves/time</p>",N,,,,,,,variable,0.00,,,,N,,,,Y,variable,,,,N,variable,,,,Anantara CM Sleeve 8g (85%),,,
anantara-cnx-box,10339,Anantara CNX Box,Packing,<p>Chiang Mai Only</p>,N,,,,,,,15.00,0.00,CNX,,,Y,,,,N,15.00,0.000,,,Y,15.00,739.000,,,Anantara CNX Box,,,
anantara-koh-samui-belly-band,10398,Anantara Koh Samui Belly band,Sleeve Logo,<p>สายคาด อนันตรา เกาะสมุย บาร์เล็ก</p>,N,,,,,,,1.00,0.00,,,,Y,,,,N,1.00,0.000,,,Y,1.00,500.000,100.000,,Anantara Koh Samui Belly band,,,
anantara-cm-belly-sleeve-8-g-(-70%),10443,Anantara MahaBhirom Sleeve 8 g ( 70%),Sleeve Logo,"<p>for &nbsp;8 g ( 70% dark chocolate), order 400 sleeves / time</p>",N,,,,,,,variable,0.00,,,,N,,,,Y,variable,,,,N,variable,,,,Anantara MahaBhirom Sleeve 8 g ( 70%),,,
anantara-cm-sleeve-8g-(thai-tea),10444,Anantara Mahabhirom sleeve 8g (Thai tea),Sleeve Logo,"<p>For 8 g &nbsp;(Thai tea) , we order 400 sleeves/ time</p>",N,,,,,,,variable,0.00,,,,N,,,,Y,variable,,,,N,variable,,,,Anantara Mahabhirom sleeve 8g (Thai tea),,,
anantara-riverside-bkk-box,10440,Anantara Riverside BKK Box,Packing,<p>Box set small bars for Anantara Riverside Bangkok</p>,N,,,,,,,15.00,0.00,,,,Y,,,,N,15.00,0.000,,,Y,15.00,235.000,100.000,,Anantara Riverside BKK Box,,,
apple-dried-(kg),10307,Apple Dried (kg),Ingredients,<p>460B/kg</p>,N,,,,,,,460.00,0.00,,,,Y,,"Fareeda Dried Fruits Co.,Ltd.",,Y,460.00,3.594,2.000,7.000,N,variable,0.000,,,Apple Dried,kg,kg,mass
apple-pie-milk-chocolate---halloween-(75g),10458,Apple Pie Milk Chocolate - Halloween (75g),Finished Good (others),<p>Halloween 2026 special - apple pie milk chocolate</p>,N,,,,,,,variable,10.36,,10004,0.062,N,Y,,,N,variable,1.000,,,Y,variable,0.000,,,Apple Pie Milk Chocolate - Halloween,75g,,other
,,,,,,,,,,,,,,,10081,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10307,0.006,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10039,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.300,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10459,1.000,,,,,,,,,,,,,,,,,,
b-box,10310,B Box,Packing,,N,,,,,,,3.65,0.00,BOX B,,,Y,,G.M. Box Chiang Mai,,N,3.65,0.000,,,Y,3.65,78.000,10.000,,B Box,,,
baking-soda-(g),10453,Baking Soda (g),Ingredients,<p>Baking soda 300g/bag</p>,Y,,,,,,,33.00,0.00,,,,Y,,Yok Intertrade,,Y,33.00,300.000,,,N,variable,0.000,,,Baking Soda,g,g,mass
coconut-and-banana---gourmet-market---milk-chocolate-(75%),10161,Banana & Coconut Milk Chocolate - Gourmet Market (75g),Discontinued,"<p>Coconut and Banana - Gourmet Market - Milk Chocolate 50% (75g). Large Bar. Includes foil, chocolate, flavoring, and wrapper.&nbsp;</p>",N,,,,,,,variable,15.58,,10004,0.066,N,Y,,,N,variable,0.000,,,Y,variable,0.000,48.000,180.000,Banana & Coconut Milk Chocolate - Gourmet Market,75g,,other
,,,,,,,,,,,,,,,10079,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10103,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10043,0.007,,,,,,,,,,,,,,,,,,
"""banana-bites""---paleo-robbie---dipped-bananas-(100g)",10298,Banana Bites - Paleo Robbie - Dipped Banana (100g),Finished Good (others),<p>Dark Chocolate Dipped Banana Bites for Paleo Robbie. 100 grams per bag.</p>,N,,,,,,,variable,6.45,,10074,0.060,N,Y,,,N,variable,-11.000,,,Y,variable,10.000,,,Banana Bites - Paleo Robbie - Dipped Banana,100g,,other
,,,,,,,,,,,,,,,10089,0.030,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10130,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10075,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10043,0.010,,,,,,,,,,,,,,,,,,
banana-chips-(kg),10187,Banana Chips (kg),Ingredients,"<p>Crispy Bananas, Dried Bananas, and Banana Chips are all the same thing.</p>",Y,,,,,,,490.00,0.00,,,,Y,,Healthy Bakery,0.00,Y,490.00,11.893,3.000,15.000,N,variable,0.000,,,Banana Chips,kg,kg,mass
banana-crunch---milk-chocolate-50%-(75g),8857126163995,Banana Crunch Milk Chocolate (75g),Finished Goods (Core),"<p>Banana Crunch - Milk Chocolate 50% (75g). Includes foil, chocolate, flavoring, and wrapper.&nbsp;</p>",N,,,,,,,variable,10.98,8857126163995,10079,0.002,N,Y,,,Y,variable,6.000,150.000,400.000,Y,145.00,299.000,48.000,180.000,Banana Crunch Milk Chocolate,75g,,other
,,,,,,,,,,,,,,,10004,0.066,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10015,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10187,0.007,,,,,,,,,,,,,,,,,,
banana---milk-chocolate-50%-(20g),8857126163377,Banana Milk Chocolate (20g),Finished Goods (Core),"<p>Banana- Milk Chocolate 50% (20g). Small Bar. Includes foil, chocolate, flavoring, and wrapper.&nbsp;</p>",N,,,,,,,variable,2.99,8857126163377,10034,1.000,N,Y,,,Y,variable,531.000,100.000,300.000,Y,60.00,89.000,48.000,180.000,Banana Milk Chocolate,20g,,other
,,,,,,,,,,,,,,,10004,0.018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10079,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10166,0.001,,,,,,,,,,,,,,,,,,
banana-peanuts-(100g),10255,Banana Peanuts (100g),Discontinued,"<p>Banana Peanuts are sold in 100g quantities, including wrapping.</p>",N,,,,,,,variable,11.17,,10044,0.033,N,Y,,,N,variable,0.000,,,N,variable,0.000,,,Banana Peanuts,100g,,other
,,,,,,,,,,,,,,,10004,0.064,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10079,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10090,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10248,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10249,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10182,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10252,2.000,,,,,,,,,,,,,,,,,,
banana-powder-(kg),10079,Banana Powder (kg),Ingredients,"<p>Banana Powder, 1 Bag = 1kg</p>",Y,,,,,,,480.00,0.55,,,,Y,,"Chanthaburi Global Foods Co., Ltd.",0.00,Y,480.00,6.202,5.000,10.000,N,variable,0.000,,,Banana Powder,kg,kg,mass
